Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2	lnL
5980	0.9463190	0.5266057	0.1659586	0.5081143	0.3548827	0.1098056	0.0273441	0.9025702	0.8767660	0.6920857	0.6378494	0.3860938	0.5951672	0.2972155	0.8552651	0.8266568	0.8084888	0.8055598	0.6991248	0.5228721	0.4272238	0.1262041	0.0823937	0.6432546	0.5980014	0.2189063	0.5065398	0.1257080	0.0714389	0.1105884	0.1847620	-28.675
5982	0.9350805	0.5227082	0.1659586	0.5081143	0.3548827	0.1098056	0.0490298	0.9075030	0.8511432	0.6742930	0.5620975	0.2719575	0.5951672	0.2972155	0.9031461	0.8483290	0.8270624	0.7981004	0.7404831	0.5066870	0.3871945	0.1454858	0.0910880	0.5261414	0.5131577	0.1877889	0.5065398	0.1257080	0.0817441	0.1223240	0.1322982	-25.265
5984	0.9129640	0.5239214	0.1663438	0.4953623	0.3557064	0.0717351	0.0491436	0.9105907	0.9068307	0.6758581	0.6518169	0.2725887	0.5965486	0.2979054	0.8575197	0.8432187	0.8169943	0.7672508	0.7422018	0.5078631	0.3880932	0.1859158	0.0912994	0.5273626	0.5249296	0.2491250	0.5077155	0.1259998	0.1537876	0.1220407	0.1322982	-25.530
5986	0.9722364	0.4489449	0.2616600	0.3779770	0.3557064	0.0498527	0.0491436	0.9097158	0.9068307	0.7509357	0.6512857	0.2725887	0.4658295	0.3604982	0.8670205	0.8486778	0.8169943	0.7542269	0.7524784	0.6348220	0.4531883	0.2095729	0.0752954	0.5273626	0.5120469	0.3532729	0.5077155	0.1259998	0.1988462	0.1220407	0.1322982	-18.760
5988	0.9847018	0.5642893	0.2616600	0.3934381	0.3586174	0.1499833	0.0491436	0.9120006	0.9066257	0.7381416	0.6512857	0.2725887	0.4658295	0.3171570	0.9029439	0.8920496	0.8482999	0.8004980	0.7524784	0.4783489	0.4531883	0.2095729	0.0752954	0.5273626	0.5141418	0.3532729	0.5077155	0.1259998	0.1988462	0.1359343	0.1309281	-22.025
5990	0.9847018	0.5071115	0.2616600	0.3945480	0.3586174	0.0581997	0.0491436	0.9695281	0.9066257	0.7718604	0.6667073	0.4172049	0.4658295	0.3171570	0.9126666	0.8447525	0.7922833	0.7898601	0.6331120	0.5837544	0.4531883	0.3224528	0.0752954	0.5273626	0.5136239	0.3313834	0.5077155	0.1956732	0.2838917	0.1359343	0.1309281	-23.806
5992	0.8261717	0.3836975	0.2203187	0.3640795	0.3052017	0.0432641	0.0413791	0.8180330	0.8027722	0.6499094	0.5583374	0.2319873	0.4298387	0.3441262	0.7991910	0.7764643	0.6725223	0.6114262	0.5774624	0.4915234	0.4539768	0.3126549	0.0633990	0.6172744	0.4429433	0.2790261	0.4274983	0.1647576	0.2390379	0.1629266	0.1309281	-19.811
5994	0.8541282	0.4357729	0.1508143	0.3507603	0.3155293	0.0447281	0.0427793	0.8430895	0.8299370	0.6697744	0.6067240	0.2398374	0.4110987	0.3557710	0.8294362	0.8286562	0.8072112	0.7325632	0.6476819	0.5081559	0.4758343	0.2538266	0.1234613	0.5584640	0.5452878	0.3305544	0.4419643	0.1703328	0.1556427	0.1575938	0.0928009	-21.641
5996	0.7045073	0.4023925	0.1740629	0.3383125	0.2391848	0.0900626	0.0349853	0.6974671	0.6457416	0.5821424	0.4961847	0.1961414	0.3362004	0.2539417	0.6911628	0.6826228	0.6772215	0.6732614	0.6548809	0.4505350	0.3893504	0.2075818	0.1009678	0.4567172	0.3948244	0.2703306	0.3614427	0.1392998	0.0737335	0.1927024	0.0928009	-28.964
5998	0.5150995	0.2779274	0.0806715	0.2698241	0.1748796	0.0497123	0.0255795	0.5080251	0.4783331	0.3921469	0.3268420	0.1434085	0.2458125	0.2011181	0.5042378	0.4985884	0.4956506	0.4947274	0.4415326	0.3294080	0.2846730	0.1517731	0.0735966	0.3125465	0.3111742	0.1498417	0.3024253	0.1018488	0.1075694	0.2635611	0.0928009	-30.554
6000	0.5480848	0.2810519	0.0509690	0.2665558	0.1748796	0.0293945	0.0255795	0.5192004	0.4827639	0.3994612	0.3911862	0.0901897	0.2103029	0.1699614	0.5053794	0.5038964	0.5023223	0.4683875	0.4415326	0.3294080	0.2846730	0.1517731	0.0735966	0.3125465	0.3059714	0.1498417	0.3024253	0.1018488	0.1263211	0.2635611	0.0519838	-27.751
6002	0.6376465	0.3404846	0.0976571	0.3171223	0.2136150	0.0254775	0.0031236	0.6345917	0.6015167	0.4879408	0.2851202	0.0456343	0.2568845	0.2076074	0.6340042	0.6256737	0.6158049	0.5616621	0.4878729	0.3702588	0.3276401	0.1853905	0.0956792	0.3817747	0.3760285	0.2602299	0.3694117	0.1244081	0.1543009	0.2157689	0.0519838	-26.324
6004	0.6376465	0.3404603	0.0976571	0.3171223	0.2136150	0.0155476	0.0150241	0.6364135	0.6073205	0.4871283	0.2898515	0.0513777	0.2568845	0.2076074	0.6210679	0.6191889	0.6013001	0.5478405	0.4968269	0.4095538	0.3276401	0.1853905	0.1159072	0.4723681	0.3725650	0.2602299	0.3694117	0.1244081	0.1543009	0.2157689	0.0519838	-31.533
6006	0.6612757	0.2924058	0.1008065	0.2306775	0.2205039	0.0230987	0.0155086	0.6502255	0.6281899	0.4055993	0.3975639	0.1596694	0.2756288	0.2143026	0.6436940	0.6391574	0.6139518	0.5371595	0.4672060	0.4323354	0.2671137	0.1515242	0.0556097	0.4606418	0.4553402	0.2625879	0.4308532	0.1284202	0.1592770	0.2023352	0.0519838	-21.501
6008	0.8458180	0.3108466	0.0888710	0.2898500	0.2820400	0.0637452	0.0598656	0.8241708	0.8034989	0.6870564	0.5085121	0.2042284	0.3608961	0.2762614	0.8229833	0.8180170	0.7852874	0.7069824	0.5905525	0.5394777	0.3416572	0.1938101	0.0244952	0.5891931	0.5878419	0.3358684	0.4820059	0.1803471	0.1190649	0.1581893	0.0864372	-21.980
6010	0.9124326	0.3584607	0.0950692	0.3406781	0.3017107	0.0662493	0.0640409	0.8997498	0.8595384	0.7349747	0.4313958	0.2184721	0.4103788	0.2955290	0.8893139	0.8510039	0.7592908	0.7133404	0.6317402	0.5771032	0.2992899	0.2564574	0.0427519	0.6830518	0.5189020	0.3592933	0.5156231	0.1929253	0.1460239	0.1478758	0.0933896	-25.934
6012	0.9271839	0.3846597	0.0950692	0.3826823	0.3272005	0.1198329	0.0459605	0.9110584	0.8595384	0.6308880	0.4735257	0.1684753	0.4103788	0.2603285	0.8389150	0.7840091	0.7161928	0.7052572	0.6085659	0.5771032	0.3085837	0.2116920	0.0350184	0.5906688	0.5193191	0.2922034	0.4476173	0.1929253	0.1798459	0.1400781	0.0933896	-24.907
6014	1.0048196	0.4158528	0.0856524	0.3624115	0.2531654	0.0828748	0.0496095	0.9511245	0.8976764	0.8047560	0.5465847	0.2705647	0.4558249	0.2809970	0.8288488	0.8151760	0.7728542	0.7317944	0.7117031	0.6229216	0.4350787	0.2060168	0.0377987	0.6328293	0.5653690	0.3358740	0.5037637	0.2082424	0.1941246	0.1452728	0.0933896	-23.687
6016	1.0048196	0.4572710	0.1289187	0.3094031	0.2713999	0.0828748	0.0496095	0.9777378	0.9312280	0.7876749	0.7400800	0.2705647	0.3628946	0.2809970	0.8757011	0.8117952	0.7758977	0.7342267	0.6645746	0.6128491	0.5299754	0.1558672	0.0404837	0.6724194	0.5727220	0.3358740	0.5037637	0.0998447	0.2173597	0.1452728	0.1359766	-20.140
6018	1.0065348	0.5104280	0.1289187	0.5000883	0.2815948	0.0777510	0.0174478	0.9578678	0.9312280	0.7904893	0.6180077	0.3172900	0.4177596	0.2809970	0.9262381	0.8964056	0.8220024	0.7934356	0.6625176	0.6210157	0.5299754	0.1558672	0.1037874	0.6914054	0.5681183	0.3860291	0.5399748	0.0907027	0.1390683	0.1633148	0.1487305	-21.230
6020	1.0065348	0.6090620	0.1289187	0.5000883	0.2815948	0.0777510	0.0112394	0.9578678	0.9026658	0.7983927	0.6180077	0.3172900	0.4821494	0.2809970	0.9495935	0.8941045	0.7953061	0.7863862	0.6632586	0.6443548	0.3611152	0.1558672	0.1037874	0.6914054	0.6104314	0.2776696	0.6038401	0.0907027	0.1390683	0.1462044	0.1487305	-22.577
6022	1.0013509	0.6090620	0.0898433	0.5727844	0.2815948	0.0862466	0.0348618	0.9881065	0.9026658	0.8136972	0.6442090	0.3172900	0.4784072	0.2223454	0.8815568	0.8777447	0.8265499	0.7192779	0.7035514	0.5262851	0.4648900	0.2746540	0.1037874	0.6914054	0.6382112	0.2714848	0.5191578	0.0409028	0.2160138	0.1438602	0.1061247	-23.036
6024	0.9950442	0.5977964	0.0448251	0.5727844	0.2815948	0.0862466	0.0348618	0.9692707	0.9026658	0.8136972	0.6814250	0.3172900	0.3405605	0.2223454	0.9011908	0.8856881	0.7929758	0.7629158	0.7035514	0.5262851	0.4651818	0.1973943	0.0512205	0.6914054	0.6657441	0.2714848	0.5615013	0.1451205	0.2160138	0.1438602	0.1061247	-16.147
